체험,사이트제목,성별,연령,직업,소득,결혼,자녀,주거,시도,구,동,자동차
산림복합체험,유명산 산림복합체험센터,F,3,"사무직 (일반사무직, 공무원, 직업군인)",800~899만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,송파구,문정1동,"대형차 (제너시스, BMW5급 등)"
숲체험,<지리산 자연휴양림> 숲체험,F,4,,,      ,          ,,대전,대덕구,비래동,
산림복합체험,유명산 산림복합체험센터,F,3,"사무직 (일반사무직, 공무원, 직업군인)",900~999만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,영등포구,여의도동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
산림체험,"카니발 타고 산림 체험 기아차, 산림청과 교통약자 여행 지원",F,3,,,      ,          ,,서울,은평구,응암동,
숲체험,"봄날에 딱 숲체험,체험놀이<숲속곰디 체험학교>",F,4,"주부 (전업주부, 파트타임 근무 주부)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,강동구,천호동,"경차 (모닝, 스파크 등)"
숲체험,서울대공원 숲체험,F,2,,,      ,          ,,경기,부천시 원미구,상동,
숲체험,"봄날에 딱 숲체험,체험놀이<숲속곰디 체험학교>",F,3,"사무직 (일반사무직, 공무원, 직업군인)","1,000만원 이상",아니오,          ,아파트/ 주상복합,경기,용인시 수지구,죽전1동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
숲체험,숲 체험 프로그램 1탄! 청라호수공원 숲체험 강추!,F,3,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,금천구,가산동,
숲체험,어린이집 가족 숲체험(피는 못속여),F,3,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,안산시 상록구,사3동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산림체험,산림체험에 특성화된 국립청소년산림센터 착공,F,3,"교직 (교사, 유치원교사, 학원강사)",100~199만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,관악구,신림동,
산림복합체험,남해최고의 힐링스팟 산림복합체험센터,F,3,"전문직 (의사, 판검사, 예술가, 종교인)",200~299만원,아니오,          ,오피스텔,경기,평택시,합정동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
