귀산촌,사이트제목,성별,연령,직업,소득,결혼,자녀,주거,시도,구,동,자동차
귀산촌,"청년 일자리, 귀농귀산촌 마을공동체에서 길을 찾다 토론회",M,5,,,      ,          ,,경기,안산시 상록구,사1동,
귀산촌,버섯 재배기술로 성공적인 귀산촌~~,M,2,,,      ,          ,,충남,논산시,내동,
귀산촌,"[충북뉴스] 괴산군, 장기체류형 귀산촌 핵심지역육성",F,5,,,      ,          ,,강원,원주시,단계동,
귀산촌,"[충북뉴스] 괴산군, 장기체류형 귀산촌 핵심지역육성",M,5,,,      ,          ,,서울,강동구,길동,
귀산촌,귀농ㆍ귀산촌시 중요한 소득작물 선택_지리산의 품격 들꽃다물,F,4,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,전남,나주시,송월동,"경차 (모닝, 스파크 등)"
귀산촌,"[18년 2월호 특집] 귀농교육, 실패 없는제 2의 인생을 위하여",M,5,,,      ,          ,,경기,안양시 동안구,평촌동,
귀산촌,귀산촌작물 산더덕 : 네이버 블로그,M,5,,,      ,          ,,충북,청주시 흥덕구,복대동,
귀산촌,귀산촌아카데미 무료 공개강좌,F,5,,,      ,          ,,전남,순천시,용당동,
귀산촌,내가 귀산촌을 택한 이유,M,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,수원시 권선구,권선동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
귀산촌,청주임야매매 귀농 귀산촌 용도에 적합,M,5,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,연수구,송도동,"프리미엄 (에쿠스, BMW7급 등)"
귀산촌,"산촌, 귀산촌에 대해 알아보아요!",M,4,,,      ,          ,,대전,동구,천동,
귀산촌,귀산촌 아카데미 양묘시설 현장견학(임업휴계자 양성),M,4,"사무직 (일반사무직, 공무원, 직업군인)",600~699만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,부천시 원미구,중동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
귀산촌,"밀양 임야 태양광부지or귀산촌 추천2,790평 (평당2만원)",M,2,,,      ,          ,,부산,북구,구포동,
귀산촌,귀산촌 현황 및 귀산촌 활성화 방안 연구 최종 보고서,M,5,"자영업 (도소매업, 숙박업, 미용업)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,강서구,염창동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
귀산촌,귀농ㆍ귀산촌시 중요한 소득작물 선택_지리산의 품격 들꽃다물,F,4,,,      ,          ,,부산,서구,남부민동,
귀산촌,산림청 주최 귀산촌 아카데미에 중 장년 몰려,M,4,,,      ,          ,,인천,남구,도화3동,
귀산촌,2019 귀산촌 탐색과정 모집 안내,M,5,,,      ,          ,,전북,전주시 완산구,남노송동,
귀산촌,정선임야 귀산촌 산림경영 산림경영관리사 산채재배 농가주택,M,3,,,      ,          ,,인천,남구,학익1동,
귀산촌,"산림청, ‘귀산촌 아카데미’ 서울·부산 등 전국 5대 도시로 확대",M,5,무직,500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경남,창원시 성산구,남양동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
귀산촌,"산림청, ‘귀산촌 아카데미’ 서울·부산 등 전국 5대 도시로 확대",F,5,"전문직 (의사, 판검사, 예술가, 종교인)",700~799만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,용산구,용문동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
귀산촌,귀산촌(歸山村) 양구 뜯어보기,M,5,,,      ,          ,,경기,동두천시,보산동,
귀산촌,"계절의 여왕은 봄, 여행의 완성은 귀산촌에서! 맑고 푸른 귀산촌 마을 세곳을 소개합니다",M,5,"사무직 (일반사무직, 공무원, 직업군인)",900~999만원,예    ,자녀 있음 ,아파트/ 주상복합,경남,창원시 성산구,안민동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
귀산촌,임야에 산더덕 재배방법/귀산촌 자연농법,M,5,,,      ,          ,,경기,성남시 분당구,야탑동,
귀산촌,귀산촌 창업인구 대상 정부지원 프로그램,M,4,,,      ,          ,,서울,강동구,둔촌2동,
귀산촌,귀농.귀산촌 체험관광의 정착을 위한 들꽃다물농장의 정보화교육,M,4,"사무직 (일반사무직, 공무원, 직업군인)",700~799만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,용인시 처인구,역북동,"경차 (모닝, 스파크 등)"
귀산촌,"소멸위기의 산촌,청년 귀산촌으로 돌파구를 찾다!",M,4,"사무직 (일반사무직, 공무원, 직업군인)",800~899만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,강동구,둔촌동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
귀산촌,새소리 들으며 곰취나물 캐고/귀산촌작물,M,5,,,      ,          ,,경기,고양시 덕양구,화정2동,
귀산촌,폐업대추농장에서 사과대추나무 반값에 판매해요! 귀농이나 귀산촌 하시는분들께 추천합니다.,M,3,,,      ,          ,,서울,용산구,청파동3가,
귀산촌,[모집] 2019년 귀산촌 교육·체험 프로그램 산촌in-Stay(장기 살아보기 과정) (~04.21/28),M,5,"전문직 (의사, 판검사, 예술가, 종교인)",800~899만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,광진구,광장동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
귀산촌,귀산촌 도서 추천,M,5,,,      ,          ,,부산,북구,화명3동,
귀산촌,충남 보령시 보령 부동산 귀산촌 전원주택 산속 별장 시골촌집 매매,M,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,강서구,가양3동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
귀산촌,2017년 8월 평창산속 귀산촌정착기ㅡ산속에 집짓기,M,5,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,전북,전주시 완산구,서신동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
귀산촌,귀산촌 아카데미 전국 5대 도시로 확대 운영 ,M,5,,,      ,          ,,충남,태안군,태안읍,
귀산촌,좋은산고르기 귀산촌프로젝트임업후계자교육,M,5,,,      ,          ,,서울,강동구,길동,
귀산촌,광주 귀임귀산촌 아카데미,M,4,"사무직 (일반사무직, 공무원, 직업군인)",600~699만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,강남구,개포동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
귀산촌,임야에 산더덕 재배방법/귀산촌 자연농법,M,3,,,      ,          ,,인천,중구,항동7가,
귀산촌,[모집] 2019년 귀산촌 교육·체험 프로그램 산촌in-Stay(장기 살아보기 과정) (~04.21/28),F,4,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,전남,나주시,송월동,"경차 (모닝, 스파크 등)"
귀산촌,귀산촌(歸山村) 양구 뜯어보기,M,5,,,      ,          ,,강원,춘천시,후평3동,
귀산촌,[모집] 2019년 귀산촌 교육·체험 프로그램 산촌in-Stay(장기 살아보기 과정) (~04.21/28),M,5,,,      ,          ,,광주,북구,일곡동,
