재해,사이트제목,성별,연령,직업,소득,결혼,자녀,주거,시도,구,동,자동차
산사태,의령수도사산사태로매몰위험노출/뉴스렙기사,M,4,,,      ,          ,,서울,관악구,청림동,
병해충,달성군산림병해충방제::재선충예방을위한예방나무주사를주는방제현장에다녀왔습니다!-달성군블로그기자단김명수,M,4,,,      ,          ,,서울,종로구,연건동,
병해충,달성군산림병해충방제::재선충예방을위한예방나무주사를주는방제현장에다녀왔습니다!-달성군블로그기자단김명수,M,4,,,      ,          ,,서울,종로구,연건동,
산림재해,"산림재해예방을위한하늘의눈,강릉산림항공관리소드론산불예방훈련실시",F,3,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,예    ,자녀 없음 ,연립주택/ 다세대/ 빌라,서울,동작구,상도4동,
산사태,청도태양광산사태/조선일보,F,2,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,전남,목포시,옥암동,
산림재해,"여주시,산림재해예방…산사태취약지역추가지정관리",M,4,,,      ,          ,,경기,광명시,광명5동,
산림재해,"여주시,산림재해예방…산사태취약지역추가지정관리",M,3,"사무직 (일반사무직, 공무원, 직업군인)",600~699만원,예    ,자녀 없음 ,오피스텔,서울,강서구,가양1동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산사태,태풍링링오는데속살드러낸용인석성산…산사태공포,M,5,"사무직 (일반사무직, 공무원, 직업군인)","1,000만원 이상",예    ,자녀 있음 ,아파트/ 주상복합,서울,노원구,중계4동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
산사태,태풍링링오는데속살드러낸용인석성산…산사태공포,M,5,"사무직 (일반사무직, 공무원, 직업군인)","1,000만원 이상",예    ,자녀 있음 ,아파트/ 주상복합,서울,노원구,중계4동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
산사태,태풍링링오는데속살드러낸용인석성산…산사태공포,M,5,"사무직 (일반사무직, 공무원, 직업군인)","1,000만원 이상",예    ,자녀 있음 ,아파트/ 주상복합,서울,노원구,중계4동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
산림재해,[단양국유림관리소]여름철우기산림재해대비에총력!,M,4,"사무직 (일반사무직, 공무원, 직업군인)",900~999만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,송파구,송파1동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
산림재해,"산림재해예방을위한하늘의눈,강릉산림항공관리소드론산불예방훈련실시",M,4,"교직 (교사, 유치원교사, 학원강사)",100~199만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,의정부시,의정부2동,
