시도,10대 이하(남),20대(남),30대(남),40대(남),50대(남),60대(남),70대(남),80대(남),90대 이상(남),계(남),10대 이하(여),20대(여),30대(여),40대(여),50대(여),60대(여),70대(여),80대(여),90대 이상(여),계,법인 및 사업자,합계
총계,"8,124","371,936","2,309,544","3,924,378","4,340,956","3,020,028","955,614","150,651","13,628","15,094,859","4,309","177,616","871,652","1,408,669","1,551,801","865,881","191,856","47,188","10,174","5,129,146","3,276,769","23,500,774"
서울,"1,174","38,840","330,112","518,595","528,690","401,828","144,131","23,860","2,829","1,990,059",620,"18,213","118,733","186,243","189,130","120,708","32,638","6,957","1,675","674,917","456,164","3,121,140"
부산,468,"19,884","128,171","208,583","228,753","185,675","58,880","8,228",813,"839,455",273,"8,715","46,155","75,870","84,529","52,397","11,366","2,534",512,"282,351","263,446","1,385,252"
대구,309,"18,729","111,198","196,436","229,646","157,377","49,654","7,684",582,"771,615",152,"8,500","41,341","72,320","84,206","46,185","10,046","2,206",385,"265,341","145,395","1,182,351"
인천,424,"24,623","137,426","215,660","230,381","147,546","38,547","5,177",491,"800,275",267,"10,849","50,950","79,053","85,999","43,698","8,142","1,912",396,"281,266","536,056","1,617,597"
광주,195,"12,695","68,844","119,316","125,384","74,883","24,284","3,442",338,"429,381",105,"7,288","31,676","48,873","48,835","23,705","5,304","1,319",367,"167,472","75,313","672,166"
대전,401,"12,341","70,743","116,826","129,037","86,108","25,071","3,785",344,"444,656",225,"6,409","28,801","46,106","49,569","25,249","5,382","1,483",343,"163,567","63,565","671,788"
울산,237,"9,340","59,463","100,496","130,749","81,982","19,651","2,059",170,"404,147",103,"4,066","19,683","32,103","34,875","18,186","3,164",751,157,"113,088","45,800","563,035"
세종,76,"2,124","22,787","37,467","26,450","15,840","4,225",606,55,"109,630",40,"1,475","10,106","13,212","9,397","4,762",850,235,52,"40,129","7,739","157,498"
경기,"2,277","99,616","643,424","1,074,548","1,084,480","661,747","187,379","32,094","2,746","3,788,311","1,142","46,345","235,814","383,997","402,407","205,818","45,596","10,305","1,922","1,333,346","588,698","5,710,355"
강원,198,"14,305","66,115","122,651","155,167","124,298","41,490","7,983",574,"532,781",108,"6,358","27,358","47,528","58,537","36,688","7,674","1,659",495,"186,405","58,372","777,558"
충북,320,"16,438","80,315","134,450","167,800","120,875","36,774","5,920",431,"563,323",180,"7,809","31,500","48,426","58,477","32,487","6,382","1,713",315,"187,289","80,632","831,244"
충남,277,"21,181","121,463","196,462","216,054","153,263","52,548","8,629",680,"770,557",165,"10,238","42,425","63,657","73,840","41,800","8,875","2,486",480,"243,966","95,029","1,109,552"
전북,344,"14,437","74,217","149,546","180,373","135,895","50,741","8,110",827,"614,490",176,"7,817","32,595","54,918","65,476","38,544","9,641","3,198",793,"213,158","98,774","926,422"
전남,352,"14,949","77,869","150,836","197,895","146,614","54,412","7,744",817,"651,488",189,"7,567","30,993","51,768","63,591","37,151","8,996","3,205",767,"204,227","190,495","1,046,210"
경북,236,"21,267","125,006","229,269","303,878","240,203","81,620","12,472",924,"1,014,875",140,"10,420","46,699","75,859","97,122","59,511","12,249","3,252",621,"305,873","117,047","1,437,795"
경남,664,"25,534","160,907","290,818","338,669","242,203","69,928","9,775",803,"1,139,301",345,"11,943","60,635","101,047","115,755","62,633","11,826","3,206",695,"368,085","204,128","1,711,514"
제주,172,"5,633","31,484","62,419","67,550","43,691","16,279","3,083",204,"230,515",79,"3,604","16,188","27,689","30,056","16,359","3,725",767,199,"98,666","250,116","579,297"
