카테고리,상품내용,성별,연령,직업,소득,결혼,자녀,주거,시도,구,동,자동차
자전거액세서리,유아안장자전거유아안장 후방유아안장 아동보조안장,F,5,,,      ,          ,,서울,강서구,화곡8동,
에어펌프(발펌프),GIYO지요 GF-56GTB ULTRA 자전거펌프 공기배출기능,F,4,,,      ,          ,,경기,오산시,갈곶동,
장갑,윈드스토퍼스마트터치 겨울 방한장갑 네오프렌 방풍,F,2,"학생 (초중고학생, 대학생, 대학원생)",300~399만원,아니오,          ,단독주택,부산,사상구,괘법동,
자전거의류/잡화,사은품증정나루 마스크 자전거 자외선차단 등산 골프 바라클라바 버프 겨울 방한 넥워머 복면  오토바이,M,2,"서비스직 (요식업, 숙박업, 미용실종업원)","1,000만원 이상",아니오,          ,연립주택/ 다세대/ 빌라,경기,고양시 덕양구,내유동,
자전거액세서리,완전사2017년 신형 KSM400-3 SE 연납축전지 12V/,M,3,"생산/노무직 (생산감독, 경비원, 공장근로자)",300~399만원,예    ,자녀 없음 ,연립주택/ 다세대/ 빌라,경기,안산시 단원구,선부2동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
자전거,도미니크24인치하이브리드자전거초등학생~중학생까지,F,5,,,      ,          ,,경기,고양시 일산동구,마두1동,
헬멧/보호장비,심플한도시형헬멧/빅이글 어반헬멧/자전거용품/인라인,M,4,"생산/노무직 (생산감독, 경비원, 공장근로자)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,김포시,구래동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
자전거타이어/부품,삼천리알루미늄 핸드펌프  - 자전거 다용도 튜브 펌프 공기주입기,M,3,,,      ,          ,,부산,북구,만덕3동,
자전거튜브,[CST]700x25/32C fv60mm 자전거튜브 프레스타 흥아 켄다,F,4,,,      ,          ,,전남,여수시,고소동,
자전거,지멘스여성용 부인용 자전거 클래식 24 26인치,M,3,,,      ,          ,,서울,강남구,일원동,
자전거장갑,[킹썰]스포츠/등산/자전거장갑/여름장갑/반장갑/핸드폰터치,M,2,,,      ,          ,,서울,동대문구,이문동,
보호대,특가쿨토시 1+1 (2세트) /토시/아동쿨토시/팔토시,F,2,,,      ,          ,,서울,노원구,공릉동,
MTB,삼천리자전거팀60D MTB자전거 24단 알루미늄자전거,M,2,"학생 (초중고학생, 대학생, 대학원생)",400~499만원,아니오,          ,아파트/ 주상복합,서울,양천구,신월4동,
브레이크패드,BARADINE바라딘 450 로드용 브레이크슈 브레이크 슈패드 고무패드 자전거용품 부품,F,3,,,      ,          ,,대구,수성구,신매동,
MTB,앞뒤쇼바접이식 21단 26인치 입문 통학 출퇴근용 MTB,M,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,전북,남원시,조산동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
자전거의류/잡화,GIROJAG 반장갑/지로 장갑/땀흡수/통기성/4웨이 신축성/충격흡수패딩/자전거장갑/지로장갑/자전거용품,F,5,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,동작구,상도1동,
보호대,나스카썬블럭 쿨토시/네이비/팔토시/자외선차단/스포츠/골프/등산/자전거/테니스/암슬리브/운전,M,2,,,      ,          ,,부산,수영구,망미2동,
트레일러,알톤키즈 트레일러/자전거/캐리어/손잡이/보조바퀴,F,4,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,구리시,인창동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
헬멧,아동용자전거헬멧아동보호대 킥보드 인라인헬멧,M,3,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,오피스텔,서울,관악구,신림동,
신발,뉴발란스운동화 574 NEWBALANCE 574 (ML574SS2),F,5,,,      ,          ,,경기,고양시 일산서구,가좌동,
전시스탠드,토픽스텐드 DUAL TOUCH BIKE STAND 자전거거치대,M,2,"학생 (초중고학생, 대학생, 대학원생)",100만원 미만,아니오,          ,연립주택/ 다세대/ 빌라,서울,서초구,잠원동,
자전거액세서리,정품미국 CREE사 LED Q5 줌 라이트/자전거/전조등/후레쉬/랜턴/손전등/거치대/건전지/안전등/용품/야간등,F,2,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,평택시,서정동,
자전거튜브,[CST]700x25/32C fv48mm 자전거튜브 프레스타 흥아 켄다,M,2,"학생 (초중고학생, 대학생, 대학원생)",100만원 미만,아니오,          ,연립주택/ 다세대/ 빌라,서울,동작구,상도동,
거치대,(추천)말대가리 스마트 거치대/ 휴대폰거치대 스마트폰거치대 거치대 차량용폰거치대 핸폰거치대 헨드폰거,M,2,,,      ,          ,,제주,제주시,일도2동,
안장,삼천리전립선 안장패드/MTB ROAD 안장용 쿠션커버/하이브리드 안장커버/자전거안장커버/로드용 자전거용품,F,3,,,      ,          ,,서울,강남구,논현1동,
MTB,삼천리자전거/하운드팀50D/MTB자전거/산악자전거,M,4,,,      ,          ,,서울,성동구,금호동1가,
자전거의류/잡화,GIROJAG 반장갑/지로 장갑/땀흡수/통기성/4웨이 신축성/충격흡수패딩/자전거장갑/지로장갑/자전거용품,M,5,,,      ,          ,,서울,노원구,하계동,
자전거액세서리,스나이퍼코리아블랙울프 18650배터리 충전기모음,M,3,"서비스직 (요식업, 숙박업, 미용실종업원)",200~299만원,아니오,          ,단독주택,인천,서구,신현동,"MPV (카니발, 올란도, 피카소급, 오딧세이 등)"
자전거의류/잡화,극세사기모 방한 넥워머 바라클라바 겨울 목토시 자전거 방한마스크 멀티스카프 털모자,F,4,"사무직 (일반사무직, 공무원, 직업군인)",800~899만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,서초구,양재동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
MTB,GIFT2016 엘파마 판타시아 S7 S675 카본 MTB 자전거,M,3,"전문직 (의사, 판검사, 예술가, 종교인)",100만원 미만,예    ,자녀 있음 ,단독주택,서울,송파구,가락본동,"소형차 (액센트, 프라이드, 아베오, 피아트급 등)"
자전거,[21세기스쿠터]질주본능!21세기스쿠터/미드미 外 봄바람 일으키는 모빌리티 컬렉션,F,2,,,      ,          ,,경남,창원시 마산합포구,월영동,
에어펌프(발펌프),국산삼흥 발펌프 공기주입기 손펌프 에어펌프 자전거,M,4,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,송파구,마천동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
자전거의류/잡화,[엠씨엔]MCN 통기성좋고 시원한 매쉬마스크/UV자외선 벌레차단,F,2,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,아파트/ 주상복합,경기,안산시 단원구,고잔동,
자전거타이어/부품,야광젤타입 자전거 안장 자전거 용품 레저 취미,M,3,,,      ,          ,,경기,용인시 기흥구,영덕동,
자전거,[알톤]갤럽22 21단 앞쇼바 7~11세 시마노인투스기어,M,4,"학생 (초중고학생, 대학생, 대학원생)",800~899만원,아니오,          ,아파트/ 주상복합,서울,광진구,광장동,
자전거의류/잡화,1대1사은품증정 나루마스크 X1 X5 자외선차단마스크,M,4,무직,100만원 미만,아니오,          ,연립주택/ 다세대/ 빌라,경북,구미시,진평동,
전기자전거,전동킥보드마이봇 ERT-8/ 38V/ 18.4Ah / 삼성배터리/ 레져스포츠,M,5,"사무직 (일반사무직, 공무원, 직업군인)",700~799만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,노원구,상계6.7동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
물통받침대,대만아이베라 경량 물통케이지 물병 더블 안장마운트,M,2,,,      ,          ,,서울,도봉구,쌍문4동,
자전거의류/잡화,[PUMA]푸마 여성 더블 스트레치 기모 본딩 팬츠 3종세트 GFYYFG22,M,2,"학생 (초중고학생, 대학생, 대학원생)",400~499만원,아니오,          ,단독주택,전남,여수시,돌산읍,
헬멧,아동용자전거헬멧아동보호대 킥보드 인라인헬멧,M,5,"전문직 (의사, 판검사, 예술가, 종교인)",100만원 미만,아니오,          ,단독주택,인천,동구,송림6동,
보호대,(가온들)나스카/쿨토시/기능성팔토시/스포츠골프토시,M,4,"사무직 (일반사무직, 공무원, 직업군인)",600~699만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,광진구,중곡동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
자전거액세서리,카멜백포디엄 칠리 610ml 자전거물통 보냉 물병,F,4,,,      ,          ,,부산,사상구,엄궁동,
자전거의류/잡화,마스크/귀마개/멀티워머/넥워머/자전거/검정마스크,F,3,"전문직 (의사, 판검사, 예술가, 종교인)",100~199만원,아니오,          ,단독주택,인천,중구,신흥동3가,
자전거액세서리,블랙울프KR-C8 L2 밝은 자전거라이트 전조등 손전등,M,4,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,송파구,마천동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
자전거,뉴도미니크24/렌즈/갤럽등 초등학생 하이브리드 모음,M,5,,,      ,          ,,광주,남구,봉선2동,
핸들그립,Giant그립/Connect 커넥트 에르고 맥스 락온 (2색상),F,3,,,      ,          ,,서울,강남구,논현1동,
자전거스마트폰거치대,4방향완벽고정 자전거 스마트폰 거치대 (블랙),F,4,,,      ,          ,,서울,동작구,대방동,
자전거액세서리,자전거라이트LED 전조등 후미등 후레쉬 [거치대증정],M,3,,,      ,          ,,충남,아산시,배방읍,
자전거라이트/전조등,몬스터라이트LG화학 18650 배터리 3050mAh,M,4,,,      ,          ,,경기,부천시 원미구,심곡3동,
자전거액세서리,로드MTB 충전식 자전거라이트 용품 18650 배터리,M,5,"관리직 (사장, 간부, 고위공무원)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,강남구,역삼동,"대형SUV (베라크루즈, 모하비, 투아렉급 등)"
자전거타이어,자전거휠라이트 반사 스트로우 바퀴 야간 안전 야광,M,2,무직,100만원 미만,아니오,          ,기타 ,경기,평택시,평택동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
신발,뉴발란스운동화 574 NEWBALANCE 574 (ML574SS2),M,2,,,      ,          ,,경기,평택시,신장1동,
자전거의류/잡화,{지오무역}[쿨멀티스카프모음]쿨마스크/냉동스카프/,F,4,,,      ,          ,,대전,서구,관저1동,
MTB,삼천리자전거/하운드팀50D/MTB자전거/산악자전거,M,2,"학생 (초중고학생, 대학생, 대학원생)","1,000만원 이상",아니오,          ,기타 ,경기,용인시 기흥구,중동,
사이클,[HK]예거메티1디스크 로드자전거 카본포크 소라,F,2,,,      ,          ,,서울,동대문구,이문동,
펑크패치,호비번개표 펑크패치 타이어수리 타이어레버 빵구,M,4,,,      ,          ,,인천,서구,당하동,
에어펌프(발펌프),자전거펌프/미니펌프/공기주입기/자전거용품,M,4,,,      ,          ,,강원,춘천시,동내면,
장갑,자전거방한토시 바이크 핸들덮개 방한커버 손토시,M,3,"전문직 (의사, 판검사, 예술가, 종교인)",900~999만원,아니오,          ,아파트/ 주상복합,충북,청주시 상당구,사천동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
브레이크패드,[FNS]크락스오가닉 디스크브레이크 패드(벌크제품),M,3,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,아니오,          ,아파트/ 주상복합,서울,강북구,미아동,
펑크패치,자전거펑크패치(패치30개+접착제) 자전거타이어수리,M,2,,,      ,          ,,서울,강남구,논현1동,
헬멧,2018GIRO 지로 QUARTER 쿼터 어반 자전거 헬멧 BMX,M,4,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,광주,광산구,광산동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
외발/삼륜/2인용,[자이덴]지오닉스 나누미 에코 성인용 세발 트라이 삼륜자전거,F,4,,,      ,          ,,경기,오산시,갈곶동,
후미등,문라이트크레센트/코멧/쉴드/디펜더/메테오/ 자전거라이트 자전거후미등,M,5,"판매직 (상점점원, 보험설계사, 노점상)",500~599만원,예    ,자녀 있음 ,단독주택,강원,춘천시,약사동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
전시스탠드,[학성스포츠]아동용16/18/20인치 자전거스탠드/보조바퀴떼어내고 두발자전거전환시사용,M,3,,,      ,          ,,서울,중랑구,중화2동,
자전거액세서리,"매그닉라이트/전조등,후미등싱글판매/충전필요없는 독일특허 비접촉 자전거라이트/자전거용품/무료배송",F,3,,,      ,          ,,경기,화성시,반송동,
자전거의류/잡화,[PUMA]푸마 여성 기모 티셔츠 3종세트 NFYKFG01,M,3,,,      ,          ,,서울,강남구,논현1동,
자전거의류/잡화,쿨마스크멀티스카프 자외선차단마스크 자전거마스크,F,5,,,      ,          ,,서울,성북구,월곡1동,
승용완구,STONETREE스톤트리 트라이크 - 유모차 세발 자전거,M,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,부천시 원미구,중4동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
자전거액세서리,(자전거용품.부품모음)자물쇠라이트펌프바구니짐받이안장가방헬멧보호대후미등페달보조바퀴벨전조등거치대,M,2,,,      ,          ,,울산,북구,명촌동,
기타용품,발목밴드,F,4,"교직 (교사, 유치원교사, 학원강사)",300~399만원,아니오,          ,아파트/ 주상복합,강원,삼척시,교동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
자전거의류/잡화,방한멀티스카프/멀티워머/넥워머/마스크/스키/자전거,M,3,"기능직 (자동차정비, 운전기사, 안경사, 택시기사)",300~399만원,아니오,          ,아파트/ 주상복합,경기,양주시,덕계동,
전시스탠드,"자전거스텐드거치대/16,18,20,22,24,26스탠드 받침대 보관대 접이식 자전거용품",F,3,"주부 (전업주부, 파트타임 근무 주부)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,양천구,신월4동,
자전거,[스마트]삼천리/스마트/바이맥스 접이식자전거 미니벨로 4종,M,4,,,      ,          ,,경남,창원시 성산구,남양동,
헬멧,[HJC]X5(EVO)블랙스카이 / 자전거 헬멧 / 240g대 초,M,4,,,      ,          ,,서울,도봉구,쌍문3동,
자전거타이어/부품,자전거수리키트+펌프 자전거공구세트 펑크패치,F,2,"학생 (초중고학생, 대학생, 대학원생)",400~499만원,아니오,          ,아파트/ 주상복합,경기,구리시,교문2동,
자전거짐받이,바이크박스블랙   -  생활용 여성용 접이식 자전거 짐받이 거치용 접이식 짐 바구니,M,2,,,      ,          ,,서울,서초구,서초1동,
보호대,[AQUA-X/국산]발렌티노무봉제 쿨토시/아쿠아엑스,M,5,"자영업 (도소매업, 숙박업, 미용업)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,부산,부산진구,양정동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
자전거의류/잡화,DBIKE디빅 투라인 집게 후미등,M,4,기타 ,600~699만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,동작구,신대방2동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
자전거,지오스빈티지벨로체/GiosVintage Veloce 로드자전거,M,4,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,부산,연제구,거제1동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
자전거액세서리,블랙울프KR-C8 L2 밝은 자전거라이트 전조등 손전등,F,3,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,예    ,자녀 없음 ,단독주택,경기,가평군,가평읍,"경차 (모닝, 스파크 등)"
