재해,사이트제목,성별,연령,직업,소득,결혼,자녀,주거,시도,구,동,자동차
산사태,"제18호태풍미탁,부산사하구에산사태일으켜…4명매몰돼구조중",M,5,,,      ,          ,,광주,남구,봉선2동,
산사태,"폭염,호우,수난사고,산사태,추락사고,화학물사고중점관리",M,3,,,      ,          ,,서울,강서구,등촌3동,
산사태,"폭염,호우,수난사고,산사태,추락사고,화학물사고중점관리",M,2,,,      ,          ,,서울,노원구,공릉1.3동,
산림재해,"파주시,해빙기산림재해우려지역안전점검실시!",M,4,"사무직 (일반사무직, 공무원, 직업군인)",700~799만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,관악구,봉천동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
산불,[날씨] 건조경보에 태풍급 강풍 분다..산불 초비상 | 다음 뉴스,F,5,"주부 (전업주부, 파트타임 근무 주부)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,안양시 동안구,부흥동,"경차 (모닝, 스파크 등)"
산불,[날씨] 건조경보에 태풍급 강풍 분다..산불 초비상 | 다음 뉴스,M,4,"자영업 (도소매업, 숙박업, 미용업)",600~699만원,예    ,자녀 있음 ,단독주택,서울,관악구,대학동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
산사태,"제18호태풍미탁,부산사하구에산사태일으켜…4명매몰돼구조중",M,3,,,      ,          ,,인천,연수구,연수3동,
산사태,"청주폭우290mm물폭탄산사태홍수주의보…침수피해속출,무심천아찔",F,5,,,      ,          ,,서울,동대문구,장안2동,
산사태,태풍링링오는데속살드러낸용인석성산…산사태공포,F,4,,,      ,          ,,,,,
산불,[날씨] 건조경보에 태풍급 강풍 분다..산불 초비상 | 다음 뉴스,M,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,마포구,성산동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
산불,태풍급 강풍과 건... :: 네이버 뉴스,M,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,수원시 영통구,영통2동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
산불,[날씨] 건조경보에 태풍급 강풍 분다..산불 초비상 | 다음 뉴스,M,2,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,아니오,          ,아파트/ 주상복합,서울,양천구,신월2동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
산불,[날씨] 건조경보에 태풍급 강풍 분다..산불 초비상 | 다음 뉴스,M,3,"사무직 (일반사무직, 공무원, 직업군인)",800~899만원,아니오,          ,아파트/ 주상복합,경기,구리시,수택3동,"MPV (카니발, 올란도, 피카소급, 오딧세이 등)"
산불,[날씨] 건조경보... :: 네이버 뉴스,F,4,"주부 (전업주부, 파트타임 근무 주부)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,노원구,공릉2동,"소형차 (액센트, 프라이드, 아베오, 피아트급 등)"
산불,[날씨] 건조경보에 태풍급 강풍 분다..산불 초비상 | 다음 뉴스,F,4,"주부 (전업주부, 파트타임 근무 주부)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,노원구,공릉2동,"소형차 (액센트, 프라이드, 아베오, 피아트급 등)"
산불,[날씨] 건조경보에 태풍급 강풍 분다..산불 초비상 | 다음 뉴스,F,4,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,안성시,아양동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
