행정구역별(시군구),연령별,내국인(15세이상)-계,내국인-미혼,내국인-배우자있음,내국인-사별,내국인-이혼,남자(15세이상)-계,남자-미혼,남자-배우자있음,남자-사별,남자-이혼,여자(15세이상)-계,여자-미혼,여자-배우자있음,여자-사별,여자-이혼
전국,합계,43957547,13688458,24575224,3148458,2545407,21798966,7854582,12333708,452200,1158476,22158581,5833876,12241516,2696258,1386931
전국,15~19세,2422002,2420971,937,28,66,1258885,1258692,153,9,31,1163117,1162279,784,19,35
전국,20~24세,3193316,3148848,39256,1379,3833,1670636,1656601,11059,1191,1785,1522680,1492247,28197,188,2048
전국,25~29세,3423231,2991167,409775,3426,18863,1813896,1672063,131318,2824,7691,1609335,1319104,278457,602,11172
전국,30~34세,3032832,1710284,1273637,4465,44446,1579900,1041390,520441,2541,15528,1452932,668894,753196,1924,28918
전국,35~39세,3594213,1104943,2365308,9478,114484,1841713,696579,1097619,3793,43722,1752500,408364,1267689,5685,70762
전국,40~44세,3758298,790811,2739953,20057,207477,1909518,518458,1301216,6120,83724,1848780,272353,1438737,13937,123753
전국,45~49세,4195327,636384,3137305,47033,374605,2123611,434366,1522453,11723,155069,2071716,202018,1614852,35310,219536
전국,50~54세,4245683,395244,3270011,101598,478830,2130025,279033,1615025,22094,213873,2115658,116211,1654986,79504,264957
전국,55~59세,4091920,223096,3215458,180679,472687,2051221,156631,1638157,34534,221899,2040699,66465,1577301,146145,250788
전국,60~64세,3795217,133490,2953739,306576,401412,1869359,84205,1540812,50414,193928,1925858,49285,1412927,256162,207484
전국,65~69세,2685773,63431,2021474,368532,232336,1291921,33664,1084290,54656,119311,1393852,29767,937184,313876,113025
전국,70~74세,2009542,29591,1420783,445754,113414,938910,13170,804997,60363,60380,1070632,16421,615786,385391,53034
전국,75~79세,1593192,17647,968851,552387,54307,681766,6193,578661,68284,28628,911426,11454,390190,484103,25679
전국,80~84세,1115804,10593,532919,551805,20487,417754,2368,336917,68604,9865,698050,8225,196002,483201,10622
전국,85세이상,801197,11958,225818,555261,8160,219851,1169,150590,65050,3042,581346,10789,75228,490211,5118
동부,합계,35702423,11623115,19727424,2251539,2100345,17604432,6545580,9820192,324471,914189,18097991,5077535,9907232,1927068,1186156
동부,15~19세,2011443,2010652,729,12,50,1041080,1040930,116,7,27,970363,969722,613,5,23
동부,20~24세,2724712,2692150,29665,394,2503,1402796,1393607,8055,290,844,1321916,1298543,21610,104,1659
동부,25~29세,2968015,2621868,330394,1501,14252,1549736,1439104,104559,1062,5011,1418279,1182764,225835,439,9241
동부,30~34세,2600370,1491831,1069465,3250,35824,1342686,891203,437607,1735,12141,1257684,600628,631858,1515,23683
동부,35~39세,3040975,945040,1994826,7246,93863,1546177,582404,926039,2961,34773,1494798,362636,1068787,4285,59090
동부,40~44세,3153211,659417,2307114,16087,170593,1582926,420995,1090674,4867,66390,1570285,238422,1216440,11220,104203
동부,45~49세,3504295,519479,2635472,38138,311206,1744382,344323,1268529,9151,122379,1759913,175156,1366943,28987,188827
동부,50~54세,3492594,311866,2700155,81937,398636,1725205,214428,1323449,17430,169898,1767389,97438,1376706,64507,228738
동부,55~59세,3275213,169711,2573516,143202,388784,1622911,116508,1305308,26742,174353,1652302,53203,1268208,116460,214431
동부,60~64세,2963758,100741,2293427,238664,330926,1444864,61589,1192547,38023,152705,1518894,39152,1100880,200641,178221
동부,65~69세,2048066,48329,1529988,278476,191273,976878,24446,817740,40407,94285,1071188,23883,712248,238069,96988
동부,70~74세,1504438,22205,1056345,331674,94214,697466,9317,595772,44174,48203,806972,12888,460573,287500,46011
동부,75~79세,1137911,13364,693643,386018,44886,493479,4355,417480,48755,22889,644432,9009,276163,337263,21997
동부,80~84세,752034,7927,362439,364820,16848,287352,1594,231483,46400,7875,464682,6333,130956,318420,8973
동부,85세이상,525388,8535,150246,360120,6487,146494,777,100834,42467,2416,378894,7758,49412,317653,4071
읍부,합계,4232943,1175672,2460786,350961,245524,2148287,721766,1254378,50415,121728,2084656,453906,1206408,300546,123796
읍부,15~19세,250479,250345,111,14,9,131315,131295,17,-,3,119164,119050,94,14,6
읍부,20~24세,284498,277709,5863,334,592,158201,155892,1662,296,351,126297,121817,4201,38,241
읍부,25~29세,271862,220015,48915,664,2268,153111,135113,16330,595,1073,118751,84902,32585,69,1195
읍부,30~34세,260595,125379,129533,555,5128,139540,84609,52754,348,1829,121055,40770,76779,207,3299
읍부,35~39세,342991,88082,240771,1225,12913,177803,61645,110429,421,5308,165188,26437,130342,804,7605
읍부,40~44세,379340,69794,284212,2424,22910,196784,50502,135832,624,9826,182556,19292,148380,1800,13084
읍부,45~49세,416389,57594,315193,5188,38414,220404,43283,157949,1320,17852,195985,14311,157244,3868,20562
읍부,50~54세,412454,37923,318076,10905,45550,217312,28840,163616,2353,22503,195142,9083,154460,8552,23047
읍부,55~59세,392839,21831,308374,18354,44280,204379,15805,162150,3482,22942,188460,6026,146224,14872,21338
읍부,60~64세,367381,13692,286264,31305,36120,185604,9009,152126,5191,19278,181777,4683,134138,26114,16842
읍부,65~69세,263015,5926,197042,39450,20597,127605,3311,106960,6019,11315,135410,2615,90082,33431,9282
읍부,70~74세,202543,3125,142179,47616,9623,95314,1433,81534,6694,5653,107229,1692,60645,40922,3970
읍부,75~79세,168574,1713,99965,62245,4651,70500,632,59778,7491,2599,98074,1081,40187,54754,2052
읍부,80~84세,126310,1064,59030,64521,1695,45888,260,36721,7986,921,80422,804,22309,56535,774
읍부,85세이상,93673,1480,25258,66161,774,24527,137,16520,7595,275,69146,1343,8738,58566,499
면부,합계,4022181,889671,2387014,545958,199538,2046247,587236,1259138,77314,122559,1975934,302435,1127876,468644,76979
면부,15~19세,160080,159974,97,2,7,86490,86467,20,2,1,73590,73507,77,-,6
면부,20~24세,184106,178989,3728,651,738,109639,107102,1342,605,590,74467,71887,2386,46,148
면부,25~29세,183354,149284,30466,1261,2343,111049,97846,10429,1167,1607,72305,51438,20037,94,736
면부,30~34세,171867,93074,74639,660,3494,97674,65578,30080,458,1558,74193,27496,44559,202,1936
면부,35~39세,210247,71821,129711,1007,7708,117733,52530,61151,411,3641,92514,19291,68560,596,4067
면부,40~44세,225747,61600,148627,1546,13974,129808,46961,74710,629,7508,95939,14639,73917,917,6466
면부,45~49세,274643,59311,186640,3707,24985,158825,46760,95975,1252,14838,115818,12551,90665,2455,10147
면부,50~54세,340635,45455,251780,8756,34644,187508,35765,127960,2311,21472,153127,9690,123820,6445,13172
면부,55~59세,423868,31554,333568,19123,39623,223931,24318,170699,4310,24604,199937,7236,162869,14813,15019
면부,60~64세,464078,19057,374048,36607,34366,238891,13607,196139,7200,21945,225187,5450,177909,29407,12421
면부,65~69세,374692,9176,294444,50606,20466,187438,5907,159590,8230,13711,187254,3269,134854,42376,6755
면부,70~74세,302561,4261,222259,66464,9577,146130,2420,127691,9495,6524,156431,1841,94568,56969,3053
면부,75~79세,286707,2570,175243,104124,4770,117787,1206,101403,12038,3140,168920,1364,73840,92086,1630
면부,80~84세,237460,1602,111450,122464,1944,84514,514,68713,14218,1069,152946,1088,42737,108246,875
면부,85세이상,182136,1943,50314,128980,899,48830,255,33236,14988,351,133306,1688,17078,113992,548
서울특별시,합계,8264053,3025907,4303286,486121,448739,3983084,1587798,2136431,69984,188871,4280969,1438109,2166855,416137,259868
서울특별시,15~19세,401028,400939,89,-,-,203117,203107,10,-,-,197911,197832,79,-,-
서울특별시,20~24세,625922,621900,3704,29,289,294271,293041,1113,20,97,331651,328859,2591,9,192
서울특별시,25~29세,795700,734880,58478,183,2159,390712,371919,17867,143,783,404988,362961,40611,40,1376
서울특별시,30~34세,692702,457657,228112,595,6338,346673,251021,93192,314,2146,346029,206636,134920,281,4192
서울특별시,35~39세,711638,285293,408960,1222,16163,358471,159492,192366,575,6038,353167,125801,216594,647,10125
서울특별시,40~44세,682858,187775,461317,2814,30952,339144,107760,218305,800,12279,343714,80015,243012,2014,18673
서울특별시,45~49세,754043,145862,541426,6904,59851,372828,88105,261044,1706,21973,381215,57757,280382,5198,37878
서울특별시,50~54세,739434,86586,556260,15811,80777,361142,54998,269905,3331,32908,378292,31588,286355,12480,47869
