주변관광,사이트제목,성별,연령,직업,소득,결혼,자녀,주거,시도,구,동,자동차
왜목마을,당진당일치기 3 왜목마을 해수욕장 산책 잠깐 들리기 좋은 코스,F,2,,,      ,          ,,서울,강동구,명일2동,
모악산,100대명산  모악산  84130,M,4,,,      ,          ,,전남,화순군,화순읍,
보덕사,보덕사 예산,M,4,,,      ,          ,,경기,파주시,야동동,
한탄강,포천 나들이 비둘기낭폭포 / 한탄강하늘다리 / 계류리예술창고 : 네이버 블로그,F,2,,,      ,          ,,전북,익산시,어양동,
증평에듀팜특구,SNS기자단 기고 해외 관광객도 즐길 충북의 명소 증평 에듀팜 관광특구,M,3,,,      ,          ,,서울,노원구,중계2.3동,
어답산,20190728일 횡성 어답산횡성온천선바위장송어답산 장군봉병지방계곡,F,4,,,      ,          ,,서울,성북구,정릉1동,
진관사,북한산 등산코스진관사 삼천사 원점코스,F,5,"주부 (전업주부, 파트타임 근무 주부)",200~299만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,수원시 장안구,파장동,
한탄강,(포천 가볼만한 곳) 포천아트밸리 비둘기낭폭포 한탄강 하늘다리 : 네이버 블로그,M,5,"기능직 (자동차정비, 운전기사, 안경사, 택시기사)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,강남구,자곡동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
함덕해안,제주 바다가 보이는 카페제주도 조천함덕해안도로 바람과바다,M,2,"학생 (초중고학생, 대학생, 대학원생)",300~399만원,아니오,          ,아파트/ 주상복합,경기,파주시,광탄면,
한탄강,한탄강 유원지 : 네이버 플레이스 검색 결과,F,4,"자영업 (도소매업, 숙박업, 미용업)","1,000만원 이상",예    ,자녀 있음 ,아파트/ 주상복합,경기,오산시,갈곶동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
소요산,소요산 등산코스  소요산역자재암선녀탕의상대원점회귀 3시간,F,4,"판매직 (상점점원, 보험설계사, 노점상)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,부산,북구,만덕3동,
나주호,하늘이 내린 선물 나주호 반영,F,5,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,단독주택,경기,수원시 팔달구,고등동,"소형차 (액센트, 프라이드, 아베오, 피아트급 등)"
문장대온천,문장대온천개발 온천지구 지정 사실상 백지화 가능성 커,M,2,"학생 (초중고학생, 대학생, 대학원생)",200~299만원,아니오,          ,단독주택,경기,성남시 수정구,산성동,
복전암,토요산행   보문산,F,3,"주부 (전업주부, 파트타임 근무 주부)",900~999만원,예    ,자녀 있음 ,아파트/ 주상복합,충남,홍성군,홍성읍,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
내설악용대,Jule105 봉정암  강원 인제 용대 내설악11530 월 맑음,M,5,,,      ,          ,,서울,강서구,염창동,
비슬산,대구 달성군 관광 비슬산 암괴류 대견사 참꽃군락지 반딧불이 전기차 달성 여행,M,4,"사무직 (일반사무직, 공무원, 직업군인)",700~799만원,예    ,자녀 없음 ,단독주택,서울,동대문구,휘경1동,"대형SUV (베라크루즈, 모하비, 투아렉급 등)"
성기동,영암 왕인박사 유적지   3 성기동 성천,M,3,,,      ,          ,,인천,부평구,부개3동,
미탄마하생태,대한민국 대표 관광지 강원도 강원도 관광지 현황은,F,4,,,      ,          ,,서울,구로구,개봉2동,
당항포,경남 고성 가볼만한곳 공룡엑스포가 펼쳐지는 당항포 관광단지,M,5,,,      ,          ,,서울,강북구,삼양동,
한탄강,포천한탄강하늘다리 : 네이버 통합검색,M,2,,,      ,          ,,서울,중구,신당2동,
땅끝,2018. 단풍따라 흐르는 가을여행 - 14. 토말. 땅끝마을,F,5,,,      ,          ,,서울,서대문구,홍은2동,
팔봉산,191117 홍천 팔봉산 블랙야크100대명산 산림청100대명산 한국의산하인기100산,M,4,,,      ,          ,,경기,안산시 상록구,사2동,
당항포,첫 캠핑 - 고성 당항포 오토캠핑장 : 네이버 블로그,M,4,"관리직 (사장, 간부, 고위공무원)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,울산,울주군,범서읍,"경차 (모닝, 스파크 등)"
화암사,화암사 숲길 신선대에서 바라보는 울산바위,M,3,,,      ,          ,,대구,북구,대현동,
충주호체험,충주호 유람선 체험,F,2,"학생 (초중고학생, 대학생, 대학원생)",400~499만원,아니오,          ,아파트/ 주상복합,경기,성남시 분당구,이매동,
고석정,고석정 : 네이버 통합검색,F,5,"주부 (전업주부, 파트타임 근무 주부)",100~199만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,수원시 장안구,조원동,
