선호관광,사이트제목,성별,연령,직업,소득,결혼,자녀,주거,시도,구,동,자동차
구곡폭포,구곡 폭포 나들이,F,4,,,      ,          ,,서울,도봉구,쌍문동,
불갑사,불갑사 상사화 개화초기 풍경불갑사상사화축제 날에는 만개할듯,M,5,,,      ,          ,,경북,영천시,야사동,
신화랑,청도 가볼만한곳 신화랑풍류마을 생각보다 알차,M,3,,,      ,          ,,부산,부산진구,전포1동,
태조산,천안 태조산421m  흑성산519m,F,5,,,      ,          ,,경기,성남시 분당구,수내3동,
복전암,토요산행   보문산,F,3,"주부 (전업주부, 파트타임 근무 주부)",900~999만원,예    ,자녀 있음 ,아파트/ 주상복합,충남,홍성군,홍성읍,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
문수사,고창 청량산 문수사,F,3,"주부 (전업주부, 파트타임 근무 주부)",900~999만원,예    ,자녀 있음 ,아파트/ 주상복합,충남,홍성군,홍성읍,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
내설악용대,Jule105 봉정암  강원 인제 용대 내설악11530 월 맑음,M,5,,,      ,          ,,서울,강서구,염창동,
소요산,소요산 등산코스  소요산역자재암선녀탕의상대원점회귀 3시간,M,5,,,      ,          ,,서울,강서구,염창동,
안면도,안면도 갈만한곳 : 네이버 통합검색,M,3,,,      ,          ,,서울,영등포구,당산동5가,
용문산,양평 용문산 관광단지와 용문사 은행나무,M,4,,,      ,          ,,서울,강서구,화곡본동,
남당,[어린이체험학습 아그로랜드] 어린이체험학습... 충남 당진에 있는 아그로랜드 태신목장~<서해안가볼만한곳> : 네이버 블로그,F,5,,,      ,          ,,서울,강서구,화곡4동,
강원송지호,송지호 오토캠핑에서 여름휴가를,M,3,,,      ,          ,,서울,송파구,신천동,
비슬산,대구 달성군 관광 비슬산 암괴류 대견사 참꽃군락지 반딧불이 전기차 달성 여행,M,4,"사무직 (일반사무직, 공무원, 직업군인)",700~799만원,예    ,자녀 없음 ,단독주택,서울,동대문구,휘경1동,"대형SUV (베라크루즈, 모하비, 투아렉급 등)"
성기동,영암 왕인박사 유적지   3 성기동 성천,M,3,,,      ,          ,,인천,부평구,부개3동,
흥덕사,흥덕사 백운문화한마당 참석,M,4,,,      ,          ,,울산,남구,야음동,
변산해수욕장,변산 해수욕장 스타렉스 캠핑카 타고 여행  갯벌체험으로 조개를 캤어요,F,5,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,아니오,          ,아파트/ 주상복합,대구,북구,침산동,
한탄강,포천 한탄강 하늘다리 : 네이버 통합검색,M,4,,,      ,          ,,경기,수원시 영통구,영통동,
제주용머리,제주 용머리해안 맛집 가족 식사엔 카도돈카츠,M,5,"생산/노무직 (생산감독, 경비원, 공장근로자)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,경남,창원시 마산회원구,내서읍,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
복전암,토요산행   보문산,F,2,,,      ,          ,,서울,구로구,개봉동,
라비에벨,부천예식장 라비에벨웨딩 기억에 많이 남을 것 같아요,F,2,,,      ,          ,,서울,강남구,삼성동,
영주순흥,풍기 온천 후 영주 순흥 선비촌 다녀왔습니다,M,4,,,      ,          ,,인천,남구,주안1동,
강화종합리조트,강화 길상면  강화씨사이드리조트강화도루지,M,4,,,      ,          ,,서울,영등포구,신길동,
운암사,비라칸사스와 함께한 광양 운암사,F,3,"자영업 (도소매업, 숙박업, 미용업)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,대전,중구,오류동,"MPV (카니발, 올란도, 피카소급, 오딧세이 등)"
장호,장호비치캠핑장 삼척여행,M,5,,,      ,          ,,울산,중구,반구2동,
청룡사,191119 안성 서운산 산행청룡사주차장청룡사정상 왕복코스 끝물 단풍 감상하기,F,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,전북,전주시 완산구,효자동1가,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
운주사,화순 운주사,F,4,,,      ,          ,,서울,마포구,아현동,
한탄강,[ 포천 데이트 장소 ] 하늘다리 / 한탄강 주상절리 길 / 주차장 / 운동화 신고 가기! / 날 좋을 때 한번 더! : 네이버 블로그,M,4,,,      ,          ,,경기,수원시 장안구,정자3동,
영산호쌀문화테마공원,이천 농업테마공원 쌀문화전시관에서 쌀에 대해 배워봐요,F,4,,,      ,          ,,경기,안양시 동안구,평촌동,
신화역사공원,제주 신화역사공원 홍차 카페 다만프레르,M,4,,,      ,          ,,충남,연기군,조치원읍,
