치유원,사이트제목,성별,연령,직업,소득,결혼,자녀,주거,시도,구,동,자동차
산림치유원,"[복권기금이야기] 기금투어, 국립산림치유원 숲 체험 캠프",F,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,동두천시,생연1동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산림치유원,국립산림치유원 마실치유숲길,F,2,무직,100만원 미만,아니오,          ,단독주택,경기,파주시,탄현면,
산림치유원,영주 국립산림치유원에서 제대로 힐링하세요!,F,5,,,      ,          ,,충남,예산군,예산읍,
산림치유원,국립산림치유원에서 치유를 경험하다,F,4,,,      ,          ,,서울,영등포구,여의도동,
산림치유원,이낙연 국무총리 경북 영주시노인복지관 소수서원 국립산림치유원 웰니스 관광,M,4,"사무직 (일반사무직, 공무원, 직업군인)",700~799만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,연수구,송도동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
산림치유원,영주 국립산림치유원 숲 체험 프로그램 등산 힐링캠프,M,3,기타 ,200~299만원,아니오,          ,아파트/ 주상복합,부산,연제구,거제2동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
산림치유원,국립산림치유원 1박2일 팸투어 힐링♥,F,3,"전문직 (의사, 판검사, 예술가, 종교인)",400~499만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경남,진주시,하대동,
산림치유원,영주여행 무섬마을 산림치유원여행,F,3,"전문직 (의사, 판검사, 예술가, 종교인)",400~499만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경남,진주시,하대동,
산림치유원,지덕권 산림치유원 등 4대 국가사업 본격 추진,F,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 없음 ,연립주택/ 다세대/ 빌라,서울,동작구,상도3동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산림치유원,국립산림치유원 영주 소백산으로 gfa 대가대 치유및 복지원예사과정에서 견학을 다녀왔어요.,M,4,"관리직 (사장, 간부, 고위공무원)",500~599만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,성남시 분당구,정자동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
산림치유원,해라이트-국립산림치유원,F,5,"주부 (전업주부, 파트타임 근무 주부)",700~799만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,부천시 소사구,심곡본동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
산림치유원,국립 지덕권산림치유원 조성 본격 착수 - 전라북도 주간 소식,M,5,"자영업 (도소매업, 숙박업, 미용업)",500~599만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,부산,금정구,남산동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
산림치유원,국립 산림 치유원 데크로드,M,2,"사무직 (일반사무직, 공무원, 직업군인)",600~699만원,아니오,          ,아파트/ 주상복합,서울,관악구,은천동,
산림치유원,국립산림치유원에서 건강치유체험하기,F,3,,,      ,          ,,서울,금천구,독산1동,
산림치유원,국립산림치유원,M,4,,,      ,          ,,서울,용산구,이촌1동,
산림치유원,"영주 국립산림치유원,홍천 힐리언스 선마을~나의 웰니스 라이프, 나의 웰니스 여행, My Wellness Life",F,4,,,      ,          ,,대구,달서구,상인동,
산림치유원,"국립산림치유원 고도원 원장님과의 만남, 한국산림복지진흥원 블로그기자단 팸투어 #1",F,5,,,      ,          ,,대전,동구,가오동,
산림치유원,국립산림치유원 따라 서원 여행,M,3,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,아니오,          ,아파트/ 주상복합,경기,수원시 장안구,이목동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
산림치유원,해라이트-국립산림치유원,F,2,"학생 (초중고학생, 대학생, 대학원생)",300~399만원,아니오,          ,연립주택/ 다세대/ 빌라,대구,달서구,진천동,
산림치유원,경북 영주 가볼만한곳 국립산림치유원 먹었던 밥 네 끼 / 두 그릇은 기본,F,5,,,      ,          ,,충남,예산군,예산읍,
산림치유원,20180908 영주 국립산림치유원의 야생화,F,3,"교직 (교사, 유치원교사, 학원강사)",200~299만원,아니오,          ,아파트/ 주상복합,경기,수원시 영통구,영통1동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
산림치유원,국립산림치유원에서 맞이한 행복한 추석 연휴,F,3,기타 ,900~999만원,아니오,          ,단독주택,대구,남구,대명3동,
산림치유원,영주 국립산림치유원,F,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 없음 ,연립주택/ 다세대/ 빌라,서울,동작구,상도3동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산림치유원,<국립산림치유원 제1차 산림치유 콜로키움 후기> : 풍기역에서 산림치유원 걸어가기,F,3,"전문직 (의사, 판검사, 예술가, 종교인)",500~599만원,예    ,자녀 없음 ,아파트/ 주상복합,경기,의정부시,호원2동,
산림치유원,이낙연 국무총리 경북 영주시노인복지관 소수서원 국립산림치유원 웰니스 관광,M,4,"관리직 (사장, 간부, 고위공무원)",500~599만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,성남시 분당구,정자동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
산림치유원,영주 이야기 6. 산림치유원 다스림 데크로드,F,2,무직,900~999만원,예    ,자녀 없음 ,단독주택,전북,익산시,동산동,
산림치유원,영주 국립산림치유원에서 제대로 힐링하세요!,F,4,"전문직 (의사, 판검사, 예술가, 종교인)","1,000만원 이상",예    ,자녀 있음 ,단독주택,서울,마포구,도화동,
산림치유원,영주여행 산림치유원에서의하룻밤,F,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,예    ,자녀 없음 ,연립주택/ 다세대/ 빌라,인천,서구,검암동,
