체험,사이트제목,성별,연령,직업,소득,결혼,자녀,주거,시도,구,동,자동차
산림체험프로그램,장령산자연휴양림치유의숲산림치유염색체험프로그램안내,F,3,"주부 (전업주부, 파트타임 근무 주부)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,김포시,장기동,
숲체험프로그램,"함허동천,숲체험프로그램",F,4,,,      ,          ,,서울,은평구,응암동,
숲체험프로그램,초등딸1학기트레킹숲체험프로그램을마쳤어요,F,3,,,      ,          ,,서울,강서구,가양1동,
숲체험교육확동,작은손마켓놀이숲체험유치원즐거워요,F,4,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,아니오,          ,아파트/ 주상복합,서울,송파구,문정2동,
숲체험교육확동,[봉화]힐빙스테이4기/봉화가족체험프로그램/봉화춘양목숲힐빙프로그램/봉화가족캠프/춘양목숲체험교육/봉화힐빙스테이,M,3,,,      ,          ,,광주,광산구,신가동,
숲체험프로그램,인천야간숲체험프로그램,F,3,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,연립주택/ 다세대/ 빌라,대구,남구,대명동,
숲체험프로그램,핸드폰OFF숲체험ON-청소년힐링숲체험프로그램(자원봉사시간인정),F,2,,,      ,          ,,경기,안양시 동안구,부흥동,
숲체험프로그램,민토리숲학교힐링숲체험프로그램MidsummerCandleNightatMintoryForest,F,3,"사무직 (일반사무직, 공무원, 직업군인)",800~899만원,아니오,          ,오피스텔,서울,도봉구,창2동,
숲체험프로그램,예약안내및숲체험프로그램후기,F,3,,,      ,          ,,서울,성동구,금호동1가,
산림복합체험프로그램,편백나무숲키즈카페산림복합체험센터,F,4,,,      ,          ,,인천,서구,석남2동,
숲체험프로그램,"서울준법지원센터,보호관찰청소년‘숲체험프로그램’실시",M,5,,,      ,          ,,서울,강동구,천호2동,
산림체험프로그램,<횡성가볼만한곳>국립횡성숲체원;횡성여행횡성힐링여행지/숲속산책로가예쁜장소/산림체험교육프로그램/가족여행커플여행추천,F,3,"주부 (전업주부, 파트타임 근무 주부)",200~299만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,김포시,풍무동,
숲체험프로그램,핸드폰OFF숲체험ON-청소년힐링숲체험프로그램(자원봉사시간인정),F,3,,,      ,          ,,경남,창원시 진해구,여좌동,
숲체험교육확동,"초등4학년숲체험,지리산경남환경교육원자연환경해설사활동~경남체험/생태체험/청아생태농장/숲해설/고성초등학교",F,3,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,대전,유성구,반석동,"MPV (카니발, 올란도, 피카소급, 오딧세이 등)"
산림체험프로그램,맑은누리청소년방과후아카데미10월주말체험프로그램:산림문화체험-숲의가을을만들다.,F,3,퇴직/연금생활자,300~399만원,아니오,          ,아파트/ 주상복합,경기,군포시,재궁동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
산림체험프로그램,장령산자연휴양림치유의숲산림치유염색체험프로그램안내,F,4,,,      ,          ,,서울,광진구,구의3동,
숲체험교육확동,서울숲숲체험교육활동다녀왔어요_레고시티리포터챌린지,F,3,"주부 (전업주부, 파트타임 근무 주부)","1,000만원 이상",예    ,자녀 있음 ,아파트/ 주상복합,경기,용인시 기흥구,중동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
숲체험프로그램,"부산시,‘생애주기별숲체험프로그램’운영",F,3,,,      ,          ,,경기,오산시,금암동,
숲체험프로그램,"청주시숲체험프로그램;4월부터10월까지행복한생태체험,토요가족숲나들이등",F,3,,,      ,          ,,서울,동대문구,회기동,
숲체험프로그램,유아숲체험프로그램,F,3,,,      ,          ,,서울,동대문구,회기동,
산림체험프로그램,<횡성가볼만한곳>국립횡성숲체원;횡성여행횡성힐링여행지/숲속산책로가예쁜장소/산림체험교육프로그램/가족여행커플여행추천,F,3,,,      ,          ,,서울,마포구,공덕동,
숲체험교육확동,산림복지취약계충에게숲체험교육운영,F,3,,,      ,          ,,서울,강남구,삼성1동,
숲체험교육확동,산림복지취약계충에게숲체험교육운영,F,3,,,      ,          ,,서울,서대문구,현저동,
숲체험프로그램,인천야간숲체험프로그램,F,2,무직,100만원 미만,아니오,          ,연립주택/ 다세대/ 빌라,경기,안산시 상록구,사1동,
숲체험교육확동,숲체험교육사업단단체참가자모집에국가유공자단체포함,M,4,,,      ,          ,,경기,안산시 상록구,본오1동,
숲체험교육확동,[대구북구복현동산격동검단동코스트코근처어린이집유치원]<숲은늘~즐거워요??대구숲체험>교육으로행복한세상을만들어가는사회복지법인나래영재어린이집,F,4,,,      ,          ,,경기,의정부시,가능동,
숲체험프로그램,인천야간숲체험프로그램,M,2,,,      ,          ,,충북,청주시 흥덕구,사창동,
숲체험프로그램,민토리숲학교힐링숲체험프로그램MidsummerCandleNightatMintoryForest,F,4,,,      ,          ,,서울,송파구,거여동,
숲체험프로그램,초등딸1학기트레킹숲체험프로그램을마쳤어요,F,2,무직,300~399만원,아니오,          ,아파트/ 주상복합,경기,광주시,태전동,
숲체험교육확동,[동암/꼬마성어린이집]의교육활동:숲체험을소개합니다,F,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,부평구,부개3동,"경차 (모닝, 스파크 등)"
숲체험프로그램,2018찾아가는숲체험프로그램안내,F,4,,,      ,          ,,경기,안산시 단원구,초지동,
숲체험프로그램,대전주말숲체험프로그램-행복한숲체험♩,F,5,,,      ,          ,,전북,전주시 완산구,평화동2가,
숲체험교육확동,"유아숲체험도함께,국립칠곡숲체원",F,2,"학생 (초중고학생, 대학생, 대학원생)",100~199만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,관악구,중앙동,
숲체험교육확동,서울숲숲체험교육활동다녀왔어요_레고시티리포터챌린지,F,2,,,      ,          ,,대구,달서구,이곡1동,
산림체험프로그램,<횡성가볼만한곳>국립횡성숲체원;횡성여행횡성힐링여행지/숲속산책로가예쁜장소/산림체험교육프로그램/가족여행커플여행추천,F,3,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,오산시,청호동,
숲체험교육확동,"아산교육지원청,초등학생대상숲체험교육운영",F,3,,,      ,          ,,서울,강남구,도곡2동,
숲체험교육확동,"유아숲체험도함께,국립칠곡숲체원",F,3,,,      ,          ,,서울,강남구,도곡2동,
숲체험교육확동,"유아숲체험도함께,국립칠곡숲체원",F,2,,,      ,          ,,충남,서산시,지곡면,
숲체험교육확동,군산서초등학교숲체험운영,F,5,,,      ,          ,,경북,경산시,정평동,
