재해,사이트제목,성별,연령,직업,소득,결혼,자녀,주거,시도,구,동,자동차
산사태,우면산사사태사망사고…대법대피조치안한서초구배상책임,M,4,,,      ,          ,,대구,동구,신서동,
산림재해,생태산림재해방지위한경진대회,F,5,,,      ,          ,,서울,금천구,가산동,
산림재해,산악기상관측망…산림재해예측정밀도높인다,M,3,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,경기,성남시 중원구,중동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산사태,의령수도사산사태로매몰위험노출/뉴스렙기사,M,4,,,      ,          ,,서울,관악구,청림동,
산사태,산사태현장예방단의구성및운영에관한지침개정(안)행정예고,F,4,,,      ,          ,,부산,사상구,학장동,
산림재해,생태산림재해방지위한경진대회,M,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,화성시,병점동,"MPV (카니발, 올란도, 피카소급, 오딧세이 등)"
산림재해,산악기상관측망…산림재해예측정밀도높인다,M,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,화성시,병점동,"MPV (카니발, 올란도, 피카소급, 오딧세이 등)"
산사태,"폭염,호우,수난사고,산사태,추락사고,화학물사고중점관리",F,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,부산,북구,구포3동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
병해충,달성군산림병해충방제::재선충예방을위한예방나무주사를주는방제현장에다녀왔습니다!-달성군블로그기자단김명수,M,4,,,      ,          ,,서울,종로구,연건동,
산림재해,"산림재해예방을위한하늘의눈,강릉산림항공관리소드론산불예방훈련실시",F,3,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,예    ,자녀 없음 ,연립주택/ 다세대/ 빌라,서울,동작구,상도4동,
산사태,청도태양광산사태/조선일보,F,2,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,전남,목포시,옥암동,
산사태,갑작스러운재해산사태,M,4,,,      ,          ,,서울,강남구,자곡동,
산사태,<산사태대비하기>산사태이렇게대비하자!,F,3,"전문직 (의사, 판검사, 예술가, 종교인)",600~699만원,예    ,자녀 있음 ,단독주택,서울,강서구,화곡1동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
산림재해,여름철산림재해예방을위한산사태대책상황실가동!,F,2,"사무직 (일반사무직, 공무원, 직업군인)","1,000만원 이상",아니오,          ,아파트/ 주상복합,서울,송파구,잠실동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
병해충,차나무병해충,M,4,"전문직 (의사, 판검사, 예술가, 종교인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,구로구,개봉동,"경차 (모닝, 스파크 등)"
산림재해,"산불전문예방진화,산불재난특수진화등7개국유림488명모집",M,3,,,      ,          ,,서울,광진구,화양동,
산림재해,무단농작물재배에따른산림재해우려,M,3,,,      ,          ,,경기,고양시 일산동구,백석동,
병해충,차나무병해충,M,5,"관리직 (사장, 간부, 고위공무원)","1,000만원 이상",예    ,자녀 있음 ,아파트/ 주상복합,경북,포항시 북구,항구동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
산사태,산사태현장예방단의구성및운영에관한지침개정(안)행정예고,F,3,,,      ,          ,,서울,강북구,번2동,
산림재해,"여주시,산림재해예방…산사태취약지역추가지정관리",M,4,,,      ,          ,,경기,광명시,광명5동,
산림재해,"충북도144억원투입,산림재해걱정뚝",M,5,,,      ,          ,,강원,정선군,화암면,
병해충,유기농부병해충예방,M,4,,,      ,          ,,인천,연수구,송도동,
산사태,"산사태,긴급복구현장",M,2,"학생 (초중고학생, 대학생, 대학원생)",100만원 미만,아니오,          ,단독주택,대전,서구,도마2동,
산림재해,국내사례-한국산림청SuperMap을활용한산림재해관리체계시스템,F,2,"자영업 (도소매업, 숙박업, 미용업)",500~599만원,아니오,          ,연립주택/ 다세대/ 빌라,전남,여수시,신기동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
산림재해,생태산림재해방지위한경진대회,F,3,"전문직 (의사, 판검사, 예술가, 종교인)",200~299만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,구로구,오류동,
산사태,태풍및집중호우시산사태대비국민행동요령,F,4,"주부 (전업주부, 파트타임 근무 주부)",200~299만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,평택시,동삭동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
산림재해,충청북도산림재해걱정뚝!,M,5,"교직 (교사, 유치원교사, 학원강사)",700~799만원,예    ,자녀 있음 ,단독주택,서울,강동구,고덕2동,"MPV (카니발, 올란도, 피카소급, 오딧세이 등)"
산사태,"[6월안전보건]알면대처할수있다!갑작스러운재해,산사태",M,2,"관리직 (사장, 간부, 고위공무원)",600~699만원,예    ,자녀 있음 ,오피스텔,경기,화성시,진안동,
병해충,"2019고추농사작황,시세,면적,병해충,올해느낀점",M,2,"전문직 (의사, 판검사, 예술가, 종교인)","1,000만원 이상",아니오,          ,단독주택,서울,동작구,상도1동,
산림재해,여름철산림재해예방을위한산사태대책상황실가동!,F,3,"전문직 (의사, 판검사, 예술가, 종교인)","1,000만원 이상",예    ,자녀 있음 ,아파트/ 주상복합,경기,광명시,소하1동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
