대피소,사이트제목,성별,연령,직업,소득,결혼,자녀,주거,시도,구,동,자동차
덕유산 향적봉,무주 덕유산국립공원의 1박2일과 향적봉대피소,M,4,,,      ,          ,,서울,성동구,금호동3가,
한라산 진달래밭,#성판악 #속대밭대피소 #사라오름 #진달래밭대피소 #한라산 #백록담,M,3,,,      ,          ,,경북,영주시,풍기읍,
지리산 노고단,#오스프리 #AURA #xCREW #기어리뷰어 지리산 노고단 대피소 1박 2일 _2018 12 01_02,M,4,,,      ,          ,,광주,북구,두암1동,
한라산 삼각봉,제주도 한라산 5 산우물 4월 산행 한라산 삼각봉 대피소 개미등 탐라계곡 육교 관음사,M,5,"관리직 (사장, 간부, 고위공무원)",800~899만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,관악구,봉천동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
덕유산 향적봉,덕유산 ( 德裕山 ) 야생화 트레킹 3 ( 설천봉 ~ 향적봉 대피소 ) ,M,4,"기능직 (자동차정비, 운전기사, 안경사, 택시기사)",200~299만원,예    ,자녀 없음 ,아파트/ 주상복합,인천,부평구,부평1동,"대형SUV (베라크루즈, 모하비, 투아렉급 등)"
설악산 소청,설악산 소청대피소에서 하룻밤 (2019. 6.14~15),M,4,,,      ,          ,,서울,강남구,논현동,
북한산 대피소,7.27(토) 북한산 문수봉. 북한산대피소,M,2,,,      ,          ,,부산,동구,범일2동,
덕유산 향적봉,덕유산 ( 德裕山 ) 야생화 트레킹 3 ( 설천봉 ~ 향적봉 대피소 ) ,F,2,기타 ,300~399만원,아니오,          ,아파트/ 주상복합,서울,강동구,천호1동,
북한산 대피소,북한산 밤골~백운대~북한산대피소~산성입구(191003).,F,4,,,      ,          ,,부산,금정구,장전동,
지리산 피아골,지리산 피아골 대피소 가는길,M,2,"학생 (초중고학생, 대학생, 대학원생)",300~399만원,아니오,          ,아파트/ 주상복합,충남,천안시 서북구,불당동,
지리산 연하천,지리산 종주 #2 연하천대피소-형제봉-칠선봉-세석대피소-촛대봉-연하봉-장터목대피소,M,3,,,      ,          ,,서울,동대문구,휘경2동,
설악산 소청,설악산 소청 대피소 예약 당첨,M,2,,,      ,          ,,인천,중구,신흥동3가,
설악산 소청,20181222 설악산 대청봉 & 소청대피소 1박,F,3,"사무직 (일반사무직, 공무원, 직업군인)",600~699만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,강남구,삼성동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
소백산 연화봉,소백산(제2연화봉 대피소),M,5,,,      ,          ,,경기,부천시 원미구,상동,
지리산 연하천,지리산 종주<2일차> : 연하천-세석대피소,M,4,,,      ,          ,,서울,강동구,암사1동,
설악산 소청,설악산 소청대피소에서 하룻밤 (2019. 6.14~15),F,3,,,      ,          ,,서울,서대문구,북아현동,
북한산 대피소,7.27(토) 북한산 문수봉. 북한산대피소,F,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,부산,북구,구포3동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
한라산 속밭,한라산 원정대(1)그 고생의 서막. / 성판악코스 / 입구~속밭 대피소까지.,F,4,"교직 (교사, 유치원교사, 학원강사)",300~399만원,예    ,자녀 없음 ,아파트/ 주상복합,경북,경주시,황성동,"경차 (모닝, 스파크 등)"
북한산 대피소,7.27(토) 북한산 문수봉. 북한산대피소,M,2,"학생 (초중고학생, 대학생, 대학원생)",900~999만원,아니오,          ,단독주택,울산,북구,신현동,
한라산 진달래밭,가을제주여행 메일! 한라산정상 등산코스 성판악-진달래밭대피소-백록담(8시간소요+꿀팁),F,2,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,동작구,상도동,
지리산 치밭목,지리산(대원사-새재-치밭목대피소-천왕봉),M,5,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,금천구,시흥1동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
한라산 속밭,폭설뒤의 한라산.(성판악~속밭대피소),F,5,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,중구,서소문동,"중형SUV (싼타페, 쏘렌토, 캡티바, BMW X3급 등)"
한라산 진달래밭,한라산(성판악~사라오름~진달래대피소~백록담~관음사)2019.01.29,M,5,"사무직 (일반사무직, 공무원, 직업군인)","1,000만원 이상",예    ,자녀 있음 ,아파트/ 주상복합,서울,노원구,중계4동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
덕유산 향적봉,무주 덕유산 곤도라타고 향적봉 대피소에서 1박하는 방법 :) 곤도라 요금/ 대피소 예약 및 정보 / 생생한 후기 총 정리!!,M,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경남,양산시,삼호동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
지리산 세석,[지리산 국립공원] 지리산 세석대피소 처음 이용자를 위한 소개(정보)글,F,5,,,      ,          ,,경기,안양시 만안구,박달2동,
설악산 중청,설악산 중청대피소 단계적 폐쇄,M,2,,,      ,          ,,경기,시흥시,신천동,
설악산 중청,설악산 중청대피소 하룻밤의 추억,M,2,"학생 (초중고학생, 대학생, 대학원생)",100만원 미만,아니오,          ,아파트/ 주상복합,대전,대덕구,신탄진동,
한라산 진달래밭,한라산 겨울 산행 / 진달래 대피소 / 한라산 백록담,F,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,부산,북구,구포3동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
소백산 연화봉,소백산(제2연화봉 대피소),F,4,,,      ,          ,,경기,용인시 수지구,죽전1동,
설악산 양폭,2019년 10월 26~27일 (1박2일 ) 설악산 양폭대피소 단풍보러가요.,M,3,,,      ,          ,,경기,안산시 단원구,원곡동,
한라산 탐라계곡,한라산(관음사 탐방 안내소~탐라계곡 대피소~삼각봉 대피소~한라산~진달래 밭 대피소~속밭 대피소~성판악. 180831.금),M,3,,,      ,          ,,경기,김포시,걸포동,
북한산 대피소,20190421 북한산 진달래능선 - 북한산대피소 - 산성입구,F,4,"주부 (전업주부, 파트타임 근무 주부)",100만원 미만,예    ,자녀 있음 ,아파트/ 주상복합,경기,동두천시,동두천동,
설악산 희운각,설악산 운해 1박2일(오색-대청봉-희운각대피소-공룡능선-마등령-비선대-설악동),M,2,,,      ,          ,,서울,금천구,독산4동,
설악산 중청,[등산] 설악산 / 중청 대피소 / 설악산 등산 코스,M,3,"전문직 (의사, 판검사, 예술가, 종교인)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,강원,원주시,일산동,"경차 (모닝, 스파크 등)"
한라산 진달래밭,12/4 한라산 등반 진달래밭 대피소에서 정상 백록담까지,F,5,퇴직/연금생활자,100만원 미만,예    ,자녀 있음 ,아파트/ 주상복합,울산,울주군,온양읍,
북한산 대피소,북한산 대피소 / 19.10.24,M,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,서대문구,북가좌2동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
설악산 소청,20181222 설악산 대청봉 & 소청대피소 1박,M,2,,,      ,          ,,울산,남구,옥동,
한라산 윗세,[서귀포시_2019.08.13] 영실 휴게소 병풍바위 윗세오름 대피소 한라산 남벽분기점,F,2,,,      ,          ,,서울,은평구,불광동,
설악산 중청,설악산(중청대피소~공룡능선)간 풍경,M,3,,,      ,          ,,경기,화성시,동탄면,"경차 (모닝, 스파크 등)"
지리산 세석,지리산/백무동에서 세석대피소,M,5,,,      ,          ,,전남,순천시,조곡동,
지리산 연하천,지리산 종주 #2 연하천대피소-형제봉-칠선봉-세석대피소-촛대봉-연하봉-장터목대피소,M,5,"교직 (교사, 유치원교사, 학원강사)",700~799만원,예    ,자녀 있음 ,단독주택,서울,강동구,고덕2동,"MPV (카니발, 올란도, 피카소급, 오딧세이 등)"
지리산 장터목,14일 지리산 장터목대피소 상고대 장관,M,3,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,서구,가정동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
설악산 양폭,설악산 양폭대피소에서 잠을 청하고 싶다.,M,2,"관리직 (사장, 간부, 고위공무원)",600~699만원,예    ,자녀 있음 ,오피스텔,경기,화성시,진안동,
소백산 연화봉,[등산 No.17] 소백산 산행(연화봉대피소) 천동/비로봉/죽령(18/01/27 ~28일),M,2,"학생 (초중고학생, 대학생, 대학원생)",500~599만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,동작구,사당2동,
소백산 연화봉,[등산 No.26] 소백산 산행(연화봉대피소) 천동/비로봉/죽령(18/12/01 ~02일),F,2,"사무직 (일반사무직, 공무원, 직업군인)","1,000만원 이상",아니오,          ,아파트/ 주상복합,서울,송파구,잠실동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)"
지리산 장터목,14일 지리산 장터목대피소 상고대 장관,F,2,,,      ,          ,,강원,춘천시,효자동,
지리산 노고단,지리산 등산코스 화엄사-노고단-노고단대피소(1박)-반야봉-피아골-직전마을 /단풍이 절정,M,3,,,      ,          ,,부산,부산진구,양정1동,
소백산 연화봉,흰 꽃들이 많이 피어 있었던 소백산 제2연화봉 대피소 가는 길 그리고 맛있게 먹은 저녁식사 20190601,F,2,,,      ,          ,,경기,안성시,삼죽면,
지리산 피아골,지리산 피아골 대피소 가는길,F,3,,,      ,          ,,서울,강동구,강일동,
북한산 대피소,북한산 밤골~백운대~북한산대피소~산성입구(191003).,M,5,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,연수구,송도동,"프리미엄 (에쿠스, BMW7급 등)"
한라산 진달래밭,한라산 성판악&쑥대밭대피소&사라오름&진달래대피소&성판악코스,F,2,"학생 (초중고학생, 대학생, 대학원생)",100만원 미만,아니오,          ,기타 ,경기,수원시 장안구,천천동,
지리산 장터목,[초보등산/천왕봉일출] 지리산 천왕봉 코스 with 장터목대피소,M,2,무직,200~299만원,아니오,          ,아파트/ 주상복합,경기,동두천시,하봉암동,
소백산 연화봉,소백산(제2연화봉 대피소),F,5,"교직 (교사, 유치원교사, 학원강사)",100~199만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,서대문구,홍제3동,
설악산 양폭,2019년 10월 26~27일 (1박2일 ) 설악산 양폭대피소 단풍보러가요.,F,3,,,      ,          ,,경기,부천시 원미구,중4동,
덕유산 향적봉,덕유산 ( 德裕山 ) 야생화 트레킹 3 ( 설천봉 ~ 향적봉 대피소 ) ,M,4,,,      ,          ,,서울,노원구,중계동,
지리산 치밭목,지리산(대원사-새재-치밭목대피소-천왕봉),F,2,,,      ,          ,,경기,화성시,장안면,
덕유산 삿갓골재,덕유산 1박2일 (설천봉~삿갓재대피소~남덕유산),M,3,,,      ,          ,,대구,서구,비산4동,
설악산 희운각,설악산 운해 1박2일(오색-대청봉-희운각대피소-공룡능선-마등령-비선대-설악동),M,3,,,      ,          ,,충북,음성군,대소면,
지리산 치밭목,지리산(대원사-새재-치밭목대피소-천왕봉),F,3,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,예    ,자녀 없음 ,연립주택/ 다세대/ 빌라,서울,동작구,상도4동,
설악산 소청,20181222 설악산 대청봉 & 소청대피소 1박,F,3,"전문직 (의사, 판검사, 예술가, 종교인)",500~599만원,아니오,          ,아파트/ 주상복합,경기,수원시 영통구,하동,"소형차 (액센트, 프라이드, 아베오, 피아트급 등)"
소백산 연화봉,흰 꽃들이 많이 피어 있었던 소백산 제2연화봉 대피소 가는 길 그리고 맛있게 먹은 저녁식사 20190601,M,4,,,      ,          ,,부산,사하구,감천1동,
한라산 진달래밭,12/4 한라산 등반 진달래밭 대피소에서 정상 백록담까지,M,2,"학생 (초중고학생, 대학생, 대학원생)",300~399만원,아니오,          ,아파트/ 주상복합,충남,천안시 서북구,불당동,
설악산 중청,설악산 중청대피소 판매 물품 및 상세 이용 정보,M,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경남,양산시,삼호동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
오대산 노인봉,오대산 노인봉 소금강 겨울 등산코스로의 산행 / 2부 노인봉대피소~소금강,M,4,,,      ,          ,,경남,창원시 진해구,경화동,
설악산 양폭,설악산 양폭대피소에서 잠을 청하고 싶다.,M,5,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,예    ,자녀 있음 ,아파트/ 주상복합,인천,연수구,송도동,"프리미엄 (에쿠스, BMW7급 등)"
설악산 중청,설악산 대청봉 1박 일출 산행 (중청대피소 3대의 덕),F,5,,,      ,          ,,부산,금정구,서동,
한라산 진달래밭,10. 한라산(1) - 성판악에서 진달래밭대피소까지 [2019 제주도 여행기],M,2,"학생 (초중고학생, 대학생, 대학원생)",300~399만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,관악구,신사동,
설악산 양폭,설악산(소공원에서 양폭대피소까지) 2018.6.12,F,4,,,      ,          ,,경기,용인시 수지구,죽전1동,
북한산 대피소,북한산 대피소 / 19.10.24,M,4,,,      ,          ,,서울,강남구,도곡동,
한라산 속밭,폭설뒤의 한라산.(성판악~속밭대피소),F,5,"전문직 (의사, 판검사, 예술가, 종교인)",200~299만원,예    ,자녀 있음 ,단독주택,충남,당진군,석문면,"소형차 (액센트, 프라이드, 아베오, 피아트급 등)"
북한산 대피소,북한산 산성입구~중흥사~북한산대피소~백운봉암문~밤골(190803). ,M,4,"사무직 (일반사무직, 공무원, 직업군인)","1,000만원 이상",예    ,자녀 있음 ,아파트/ 주상복합,서울,강남구,역삼2동,"준대형차 (그랜저, K7, 알페온, 캠리급, 파사트급 등)"
북한산 대피소,7.27(토) 북한산 문수봉. 북한산대피소,F,3,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,대구,북구,침산3동,"소형차 (액센트, 프라이드, 아베오, 피아트급 등)"
오대산 노인봉,[안내산악회] 2019년 05월 18일 강원도 강릉 오대산 노인봉,F,4,"교직 (교사, 유치원교사, 학원강사)",300~399만원,아니오,          ,아파트/ 주상복합,서울,마포구,대흥동,"준중형차 (아반떼, K3, 크루즈, 제타급 등)"
북한산 대피소,[타이거OB산악회] 북한산 단풍산행... 북한산성매표소-산영루-태고사갈림길-북한산대피소-용암문-위문-새마을교-북한산성매표소_2018.10.21(일),F,5,,,      ,          ,,부산,해운대구,우동,
설악산 소청,설악산 백담사~소청대피소 (5/19~21)/ 첫째날,M,5,"사무직 (일반사무직, 공무원, 직업군인)",500~599만원,예    ,자녀 있음 ,아파트/ 주상복합,서울,은평구,불광1동,"중형차 (쏘나타, K5, 말리부, 골프급 등)"
